Franchise,Lg,From,To,Yrs,G,W,L,W-L%,Plyfs,Div,Conf,Champ
Utah Jazz,NBA,1975,2014,40,3150,1712,1438,.543,25,8,2,0
Utah Jazz,NBA,1980,2014,35,2740,1551,1189,.566,25,8,2,0
New Orleans Jazz,NBA,1975,1979,5,410,161,249,.393,0,0,0,0
Washington Wizards,NBA,1962,2014,53,4205,1873,2332,.445,25,7,4,1
Washington Wizards,NBA,1998,2014,17,1264,495,769,.392,4,0,0,0
Washington Bullets,NBA,1975,1997,23,1886,887,999,.470,13,2,3,1
Capital Bullets,NBA,1974,1974,1,82,47,35,.573,1,1,0,0
Baltimore Bullets,NBA,1964,1973,10,813,401,412,.493,7,4,1,0
Chicago Zephyrs,NBA,1963,1963,1,80,25,55,.313,0,0,0,0
Chicago Packers,NBA,1962,1962,1,80,18,62,.225,0,0,0,0
